id,organism,control,time,abundance,logscale,treatment,algalHost
Brussaard4a,H,FALSE,2.1634,1.78E+07,FALSE,,Micromonas Pusilla
Brussaard4a,H,FALSE,6.0326,17959000,FALSE,,Micromonas Pusilla
Brussaard4a,H,FALSE,9.8973,2.04E+07,FALSE,,Micromonas Pusilla
Brussaard4a,H,FALSE,13.627,18529000,FALSE,,Micromonas Pusilla
Brussaard4a,H,FALSE,17.0627,20525000,FALSE,,Micromonas Pusilla
Brussaard4a,H,FALSE,25.2764,22007000,FALSE,,Micromonas Pusilla
Brussaard4a,H,FALSE,29.1964,20525000,FALSE,,Micromonas Pusilla
Brussaard4a,H,FALSE,36.8444,18073000,FALSE,,Micromonas Pusilla
Brussaard4a,H,FALSE,40.1894,1.76E+07,FALSE,,Micromonas Pusilla
Brussaard4a,H,FALSE,48.4205,9.92E+06,FALSE,,Micromonas Pusilla
Brussaard4a,H,FALSE,52.2969,6271400,FALSE,,Micromonas Pusilla
Brussaard4a,H,FALSE,56.1702,4275900,FALSE,,Micromonas Pusilla
Brussaard4a,H,TRUE,0.0332,17690000,FALSE,,Micromonas Pusilla
Brussaard4a,H,TRUE,2.1632,17902000,FALSE,,Micromonas Pusilla
Brussaard4a,H,TRUE,6.0344,1.70E+07,FALSE,,Micromonas Pusilla
Brussaard4a,H,TRUE,9.8941,22064000,FALSE,,Micromonas Pusilla
Brussaard4a,H,TRUE,17.056,24002000,FALSE,,Micromonas Pusilla
Brussaard4a,H,TRUE,25.2192,2.70E+07,FALSE,,Micromonas Pusilla
Brussaard4a,H,TRUE,29.1335,28449000,FALSE,,Micromonas Pusilla
Brussaard4a,H,TRUE,36.861,3.44E+07,FALSE,,Micromonas Pusilla
Brussaard4a,H,TRUE,40.1542,3.60E+07,FALSE,,Micromonas Pusilla
Brussaard4a,H,TRUE,48.2656,40992000,FALSE,,Micromonas Pusilla
Brussaard4a,H,TRUE,52.1294,43957000,FALSE,,Micromonas Pusilla
Brussaard4a,H,TRUE,55.9988,43957000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,2.1493,242870000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,6.0612,254280000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,9.8759,274800000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,13.6985,254280000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,17.1239,313570000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,19.892,315850000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,22.092,293040000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,25.2328,343220000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,29.1408,375140000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,32.9559,393390000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,36.7628,454960000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,40.0888,5.35E+08,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,44.849,603190000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,48.1733,692130000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,52.0739,762830000,FALSE,,Micromonas Pusilla
Brussaard4a,V,FALSE,55.8599,933870000,FALSE,,Micromonas Pusilla
