id,organism,control,time,abundance,logscale,treatment,algalHost
Brussaard4b,H,FALSE,-0.05,545060,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,FALSE,3.95,609320,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,FALSE,7.95,536130,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,FALSE,11.95,481830,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,FALSE,24,465000,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,FALSE,28.1,379790,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,FALSE,32.1,334090,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,FALSE,36.15,326190,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,FALSE,48.2,163320,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,FALSE,52.2,158850,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,TRUE,0,763280,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,TRUE,3.95,693510,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,TRUE,7.95,756060,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,TRUE,12,803140,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,TRUE,24,968440,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,TRUE,28.05,950230,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,TRUE,32.1,885640,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,TRUE,36.1,1090800,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,TRUE,48.15,1043000,FALSE,,Phaeocystis Pouchetii
Brussaard4b,H,TRUE,52.15,1251600,FALSE,,Phaeocystis Pouchetii
Brussaard4b,V,FALSE,0,44369000,FALSE,,Phaeocystis Pouchetii
Brussaard4b,V,FALSE,3.95,43750000,FALSE,,Phaeocystis Pouchetii
Brussaard4b,V,FALSE,7.95,37290000,FALSE,,Phaeocystis Pouchetii
Brussaard4b,V,FALSE,11.95,35125000,FALSE,,Phaeocystis Pouchetii
Brussaard4b,V,FALSE,23.95,52513000,FALSE,,Phaeocystis Pouchetii
Brussaard4b,V,FALSE,28.1,57223000,FALSE,,Phaeocystis Pouchetii
Brussaard4b,V,FALSE,32.05,65539000,FALSE,,Phaeocystis Pouchetii
Brussaard4b,V,FALSE,36.15,82791000,FALSE,,Phaeocystis Pouchetii
Brussaard4b,V,FALSE,48.15,92619000,FALSE,,Phaeocystis Pouchetii
Brussaard4b,V,FALSE,52.25,109700000,FALSE,,Phaeocystis Pouchetii
Brussaard4b,V,FALSE,56.15,130390000,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,-0.1288,458640,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,3.8424,482470,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,7.8711,427250,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,11.8794,576510,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,15.9526,572840,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,23.9627,438360,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,27.88,5.03E+05,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,31.8913,623470,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,35.9157,611220,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,39.9891,604110,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,48.0147,314990,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,52.0896,294140,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,FALSE,56.1613,305930,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,-0.1269,439740,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,3.9294,606170,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,7.8557,581890,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,11.866,710530,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,15.892,682810,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,23.8824,745920,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,27.9202,599650,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,31.9333,700790,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,35.8018,757270,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,39.9276,724390,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,48.0015,447290,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,52.0708,483140,FALSE,,Phaeocystis Pouchetii
Brussaard4c,H,TRUE,56.0889,534460,FALSE,,Phaeocystis Pouchetii
