id,organism,control,time,abundance,logscale,treatment,algalHost
Maat3A,H,TRUE,-0.0489,260020,FALSE,,Micromonas Polaris
Maat3A,H,TRUE,23.9122,497320,FALSE,,Micromonas Polaris
Maat3A,H,TRUE,51.1816,1081100,FALSE,,Micromonas Polaris
Maat3A,H,TRUE,75.1522,2238900,FALSE,,Micromonas Polaris
Maat3A,H,TRUE,99.1317,4257400,FALSE,,Micromonas Polaris
Maat3A,H,TRUE,0.0874,250270,FALSE,,Micromonas Polaris
Maat3A,H,TRUE,24.083,484560,FALSE,,Micromonas Polaris
Maat3A,H,TRUE,51.0151,1054300,FALSE,,Micromonas Polaris
Maat3A,H,TRUE,75.1774,2231100,FALSE,,Micromonas Polaris
Maat3A,H,TRUE,99.048,4265200,FALSE,,Micromonas Polaris
Maat3A44T,H,FALSE,0.1062,244450,FALSE,44-T,Micromonas Polaris
Maat3A44T,H,FALSE,23.94,456570,FALSE,44-T,Micromonas Polaris
Maat3A44T,H,FALSE,51.1259,897820,FALSE,44-T,Micromonas Polaris
Maat3A44T,H,FALSE,75.09,964110,FALSE,44-T,Micromonas Polaris
Maat3A44T,H,FALSE,99.1793,667130,FALSE,44-T,Micromonas Polaris
Maat3A44T,H,FALSE,118.0511,513400,FALSE,44-T,Micromonas Polaris
Maat3A44T,H,FALSE,144.1459,110940,FALSE,44-T,Micromonas Polaris
Maat3A44T,H,FALSE,166.0991,56152.504,FALSE,44-T,Micromonas Polaris
Maat3A44T,H,FALSE,190.1941,47.878,FALSE,44-T,Micromonas Polaris
Maat3B44T,V,FALSE,0.1016,16260000,FALSE,44-T,Micromonas Polaris
Maat3B44T,V,FALSE,7.9893,15491000,FALSE,44-T,Micromonas Polaris
Maat3B44T,V,FALSE,16.1442,13606000,FALSE,44-T,Micromonas Polaris
Maat3B44T,V,FALSE,24.032,15067000,FALSE,44-T,Micromonas Polaris
Maat3B44T,V,FALSE,30.048,13932000,FALSE,44-T,Micromonas Polaris
Maat3B44T,V,FALSE,51.0378,20554000,FALSE,44-T,Micromonas Polaris
Maat3B44T,V,FALSE,75.104,45005000,FALSE,44-T,Micromonas Polaris
Maat3B44T,V,FALSE,99.0391,100310000,FALSE,44-T,Micromonas Polaris
Maat3B44T,V,FALSE,118.0299,182010000,FALSE,44-T,Micromonas Polaris
Maat3B44T,V,FALSE,143.9731,270750000,FALSE,44-T,Micromonas Polaris
Maat3B44T,V,FALSE,166.0301,248010000,FALSE,44-T,Micromonas Polaris
Maat3B44T,V,FALSE,189.9576,212620000,FALSE,44-T,Micromonas Polaris
Maat3A45T,H,FALSE,0.1057,223620,FALSE,45-T,Micromonas Polaris
Maat3A45T,H,FALSE,24.0687,241730,FALSE,45-T,Micromonas Polaris
Maat3A45T,H,FALSE,50.9731,106190,FALSE,45-T,Micromonas Polaris
Maat3A45T,H,FALSE,75.0669,609.9963,FALSE,45-T,Micromonas Polaris
Maat3A45T,H,FALSE,99.1633,492.3436,FALSE,45-T,Micromonas Polaris
Maat3A45T,H,FALSE,118.0388,400.1824,FALSE,45-T,Micromonas Polaris
Maat3B45T,V,FALSE,-0.0326,9570400,FALSE,45-T,Micromonas Polaris
Maat3B45T,V,FALSE,8.1225,9543900,FALSE,45-T,Micromonas Polaris
Maat3B45T,V,FALSE,16.0101,8774900,FALSE,45-T,Micromonas Polaris
Maat3B45T,V,FALSE,24.0319,14324000,FALSE,45-T,Micromonas Polaris
Maat3B45T,V,FALSE,30.0493,31401000,FALSE,45-T,Micromonas Polaris
Maat3B45T,V,FALSE,51.0422,72587000,FALSE,45-T,Micromonas Polaris
Maat3B45T,V,FALSE,74.9727,72880000,FALSE,45-T,Micromonas Polaris
Maat3B45T,V,FALSE,99.0371,76519000,FALSE,45-T,Micromonas Polaris
Maat3B45T,V,FALSE,118.1559,90208000,FALSE,45-T,Micromonas Polaris
Maat3A46T,H,FALSE,0.1063,245760,FALSE,46-T,Micromonas Polaris
Maat3A46T,H,FALSE,24.069,253450,FALSE,46-T,Micromonas Polaris
Maat3A46T,H,FALSE,51.1072,116610,FALSE,46-T,Micromonas Polaris
Maat3A46T,H,FALSE,75.0669,609.9963,FALSE,46-T,Micromonas Polaris
Maat3A46T,H,FALSE,99.1633,492.3436,FALSE,46-T,Micromonas Polaris
Maat3A46T,H,FALSE,118.0388,400.1824,FALSE,46-T,Micromonas Polaris
Maat3B46T,V,FALSE,0.1006,3995000,FALSE,46-T,Micromonas Polaris
Maat3B46T,V,FALSE,7.9883,3597700,FALSE,46-T,Micromonas Polaris
Maat3B46T,V,FALSE,16.0096,2828300,FALSE,46-T,Micromonas Polaris
Maat3B46T,V,FALSE,24.0316,9863800,FALSE,46-T,Micromonas Polaris
Maat3B46T,V,FALSE,30.1826,25454000,FALSE,46-T,Micromonas Polaris
Maat3B46T,V,FALSE,51.0406,53632000,FALSE,46-T,Micromonas Polaris
Maat3B46T,V,FALSE,75.105,56527000,FALSE,46-T,Micromonas Polaris
Maat3B46T,V,FALSE,99.0359,61652000,FALSE,46-T,Micromonas Polaris
Maat3B46T,V,FALSE,118.0205,69396000,FALSE,46-T,Micromonas Polaris
Maat3A47T,H,FALSE,0.1066,260080,FALSE,47-T,Micromonas Polaris
Maat3A47T,H,FALSE,24.0694,270380,FALSE,47-T,Micromonas Polaris
Maat3A47T,H,FALSE,51.1075,130930,FALSE,47-T,Micromonas Polaris
Maat3A47T,H,FALSE,75.0669,609.9963,FALSE,47-T,Micromonas Polaris
Maat3A47T,H,FALSE,99.1633,492.3436,FALSE,47-T,Micromonas Polaris
Maat3A47T,H,FALSE,118.1727,1701.5514,FALSE,47-T,Micromonas Polaris
Maat3B47T,V,FALSE,0.1006,4366700,FALSE,47-T,Micromonas Polaris
Maat3B47T,V,FALSE,7.9883,3969400,FALSE,47-T,Micromonas Polaris
Maat3B47T,V,FALSE,16.0097,3943300,FALSE,47-T,Micromonas Polaris
Maat3B47T,V,FALSE,24.1651,7633400,FALSE,47-T,Micromonas Polaris
Maat3B47T,V,FALSE,51.0407,55490000,FALSE,47-T,Micromonas Polaris
Maat3B47T,V,FALSE,74.972,65447000,FALSE,47-T,Micromonas Polaris
Maat3B47T,V,FALSE,99.0367,71687000,FALSE,47-T,Micromonas Polaris
Maat3B47T,V,FALSE,118.0217,83519000,FALSE,47-T,Micromonas Polaris
