id,organism,control,time,abundance,logscale,treatment,algalHost
Maat2AHL,H,TRUE,0.0524,1205400,FALSE,P-Replete,Micromonas Pusilla
Maat2AHL,H,TRUE,12.0143,2232100,FALSE,P-Replete,Micromonas Pusilla
Maat2AHL,H,TRUE,18.0512,3020800,FALSE,P-Replete,Micromonas Pusilla
Maat2AHL,H,TRUE,24.0314,3735100,FALSE,P-Replete,Micromonas Pusilla
Maat2AHL,H,TRUE,29.9527,4955400,FALSE,P-Replete,Micromonas Pusilla
Maat2AHL,H,TRUE,36.0466,5744000,FALSE,P-Replete,Micromonas Pusilla
Maat2AHL,H,TRUE,47.9414,9434500,FALSE,P-Replete,Micromonas Pusilla
Maat2BHL,H,FALSE,0.0422,1259900,FALSE,P-Replete,Micromonas Pusilla
Maat2BHL,H,FALSE,12.0099,1226200,FALSE,P-Replete,Micromonas Pusilla
Maat2BHL,H,FALSE,18.0196,755950,FALSE,P-Replete,Micromonas Pusilla
Maat2BHL,H,FALSE,24.0267,331350,FALSE,P-Replete,Micromonas Pusilla
Maat2BHL,H,FALSE,30.0843,19841.2698,FALSE,P-Replete,Micromonas Pusilla
Maat2BHL,H,FALSE,36.0683,1984.127,FALSE,P-Replete,Micromonas Pusilla
Maat2CHL,V,FALSE,0,8143000,FALSE,P-Replete,Micromonas Pusilla
Maat2CHL,V,FALSE,3.0096,6479700,FALSE,P-Replete,Micromonas Pusilla
Maat2CHL,V,FALSE,5.9936,7000900,FALSE,P-Replete,Micromonas Pusilla
Maat2CHL,V,FALSE,9.0032,11395000,FALSE,P-Replete,Micromonas Pusilla
Maat2CHL,V,FALSE,12,38034000,FALSE,P-Replete,Micromonas Pusilla
Maat2CHL,V,FALSE,15.0267,140470000,FALSE,P-Replete,Micromonas Pusilla
Maat2CHL,V,FALSE,18.0626,209320000,FALSE,P-Replete,Micromonas Pusilla
Maat2CHL,V,FALSE,21.0338,237650000,FALSE,P-Replete,Micromonas Pusilla
Maat2CHL,V,FALSE,24.0506,206400000,FALSE,P-Replete,Micromonas Pusilla
Maat2CHL,V,FALSE,30.035,184110000,FALSE,P-Replete,Micromonas Pusilla
Maat2CHL,V,FALSE,36.0822,192510000,FALSE,P-Replete,Micromonas Pusilla
Maat2AML,H,TRUE,-5.31E-03,1398800,FALSE,P-Replete,Micromonas Pusilla
Maat2AML,H,TRUE,11.9543,3020800,FALSE,P-Replete,Micromonas Pusilla
Maat2AML,H,TRUE,17.935,3601200,FALSE,P-Replete,Micromonas Pusilla
Maat2AML,H,TRUE,23.9685,5297600,FALSE,P-Replete,Micromonas Pusilla
Maat2AML,H,TRUE,29.9477,6279800,FALSE,P-Replete,Micromonas Pusilla
Maat2AML,H,TRUE,35.9255,7604200,FALSE,P-Replete,Micromonas Pusilla
Maat2AML,H,TRUE,47.8726,12530000,FALSE,P-Replete,Micromonas Pusilla
Maat2BML,H,FALSE,-0.0228,1400800,FALSE,P-Replete,Micromonas Pusilla
Maat2BML,H,FALSE,11.9971,1450400,FALSE,P-Replete,Micromonas Pusilla
Maat2BML,H,FALSE,17.9973,1144800,FALSE,P-Replete,Micromonas Pusilla
Maat2BML,H,FALSE,24.0024,757940,FALSE,P-Replete,Micromonas Pusilla
Maat2BML,H,FALSE,30.0234,89285.7143,FALSE,P-Replete,Micromonas Pusilla
Maat2BML,H,FALSE,36.068,5952.381,FALSE,P-Replete,Micromonas Pusilla
Maat2BML,H,FALSE,48.0342,0,FALSE,P-Replete,Micromonas Pusilla
Maat2CML,V,FALSE,0,7944400,FALSE,P-Replete,Micromonas Pusilla
Maat2CML,V,FALSE,2.9968,6578900,FALSE,P-Replete,Micromonas Pusilla
Maat2CML,V,FALSE,6.0064,6901700,FALSE,P-Replete,Micromonas Pusilla
Maat2CML,V,FALSE,9.0032,17751000,FALSE,P-Replete,Micromonas Pusilla
Maat2CML,V,FALSE,11.9872,89176000,FALSE,P-Replete,Micromonas Pusilla
Maat2CML,V,FALSE,14.9676,129440000,FALSE,P-Replete,Micromonas Pusilla
Maat2CML,V,FALSE,18.014,253410000,FALSE,P-Replete,Micromonas Pusilla
Maat2CML,V,FALSE,21.0399,269820000,FALSE,P-Replete,Micromonas Pusilla
Maat2CML,V,FALSE,24.0048,265080000,FALSE,P-Replete,Micromonas Pusilla
Maat2CML,V,FALSE,36.0899,233030000,FALSE,P-Replete,Micromonas Pusilla
Maat2CML,V,FALSE,48.0679,237020000,FALSE,P-Replete,Micromonas Pusilla
Maat2ALL,H,TRUE,0.0532,997020,FALSE,P-Replete,Micromonas Pusilla
Maat2ALL,H,TRUE,6.0357,1101200,FALSE,P-Replete,Micromonas Pusilla
Maat2ALL,H,TRUE,11.9595,1651800,FALSE,P-Replete,Micromonas Pusilla
Maat2ALL,H,TRUE,17.9982,1964300,FALSE,P-Replete,Micromonas Pusilla
Maat2ALL,H,TRUE,23.9797,2351200,FALSE,P-Replete,Micromonas Pusilla
Maat2ALL,H,TRUE,29.9616,2619000,FALSE,P-Replete,Micromonas Pusilla
Maat2ALL,H,TRUE,35.9992,3199400,FALSE,P-Replete,Micromonas Pusilla
Maat2ALL,H,TRUE,47.9574,5223200,FALSE,P-Replete,Micromonas Pusilla
Maat2BLL,H,FALSE,0.0586,972220,FALSE,P-Replete,Micromonas Pusilla
Maat2BLL,H,FALSE,6.04,998020,FALSE,P-Replete,Micromonas Pusilla
Maat2BLL,H,FALSE,12.0381,732140,FALSE,P-Replete,Micromonas Pusilla
Maat2BLL,H,FALSE,18.0851,607140,FALSE,P-Replete,Micromonas Pusilla
Maat2BLL,H,FALSE,24.0185,476190,FALSE,P-Replete,Micromonas Pusilla
Maat2BLL,H,FALSE,29.9583,232140,FALSE,P-Replete,Micromonas Pusilla
Maat2BLL,H,FALSE,36.1171,144840,FALSE,P-Replete,Micromonas Pusilla
Maat2BLL,H,FALSE,48.0314,49603.1746,FALSE,P-Replete,Micromonas Pusilla
Maat2BLL,H,FALSE,72.0228,0,FALSE,P-Replete,Micromonas Pusilla
Maat2CLL,V,FALSE,0.0128,8738900,FALSE,P-Replete,Micromonas Pusilla
Maat2CLL,V,FALSE,3.0224,7770800,FALSE,P-Replete,Micromonas Pusilla
Maat2CLL,V,FALSE,6.0064,4915600,FALSE,P-Replete,Micromonas Pusilla
Maat2CLL,V,FALSE,9.0032,11991000,FALSE,P-Replete,Micromonas Pusilla
Maat2CLL,V,FALSE,11.9872,47567000,FALSE,P-Replete,Micromonas Pusilla
Maat2CLL,V,FALSE,15.0193,101740000,FALSE,P-Replete,Micromonas Pusilla
Maat2CLL,V,FALSE,18.0492,139010000,FALSE,P-Replete,Micromonas Pusilla
Maat2CLL,V,FALSE,21.0191,160490000,FALSE,P-Replete,Micromonas Pusilla
Maat2CLL,V,FALSE,24.043,166180000,FALSE,P-Replete,Micromonas Pusilla
Maat2CLL,V,FALSE,30.0325,171000000,FALSE,P-Replete,Micromonas Pusilla
Maat2CLL,V,FALSE,36.0795,178210000,FALSE,P-Replete,Micromonas Pusilla
Maat2CLL,V,FALSE,48.0535,161650000,FALSE,P-Replete,Micromonas Pusilla
