id,organism,control,time,abundance,logscale,treatment,algalHost
Maat5A0,H,TRUE,2.92E-03,203590,FALSE,0.5C,Micromonas Polaris
Maat5A0,H,TRUE,24.0232,414370,FALSE,0.5C,Micromonas Polaris
Maat5A0,H,TRUE,51.0555,565420,FALSE,0.5C,Micromonas Polaris
Maat5A0,H,TRUE,74.9965,1255200,FALSE,0.5C,Micromonas Polaris
Maat5A0,H,TRUE,98.9277,1262400,FALSE,0.5C,Micromonas Polaris
Maat5A0,H,FALSE,0.0356,263810,FALSE,0.5C,Micromonas Polaris
Maat5A0,H,FALSE,24.0493,238280,FALSE,0.5C,Micromonas Polaris
Maat5A0,H,FALSE,51.0301,114520,FALSE,0.5C,Micromonas Polaris
Maat5A0,H,FALSE,74.9928,50035.9093,FALSE,0.5C,Micromonas Polaris
Maat5A0,H,FALSE,99.0553,4854.889,FALSE,0.5C,Micromonas Polaris
Maat5B0,V,FALSE,0.0522,5344800,FALSE,0.5C,Micromonas Polaris
Maat5B0,V,FALSE,8.0256,5114900,FALSE,0.5C,Micromonas Polaris
Maat5B0,V,FALSE,16.0482,3908000,FALSE,0.5C,Micromonas Polaris
Maat5B0,V,FALSE,24.0221,4597700,FALSE,0.5C,Micromonas Polaris
Maat5B0,V,FALSE,30.0161,7471300,FALSE,0.5C,Micromonas Polaris
Maat5B0,V,FALSE,51.0303,38621000,FALSE,0.5C,Micromonas Polaris
Maat5B0,V,FALSE,75.0612,61092000,FALSE,0.5C,Micromonas Polaris
Maat5B0,V,FALSE,99.0324,62931000,FALSE,0.5C,Micromonas Polaris
Maat5A2,H,TRUE,2.58E-03,179640,FALSE,2.5C,Micromonas Polaris
Maat5A2,H,TRUE,24.0222,348500,FALSE,2.5C,Micromonas Polaris
Maat5A2,H,TRUE,50.9674,427690,FALSE,2.5C,Micromonas Polaris
Maat5A2,H,TRUE,74.9964,1249300,FALSE,2.5C,Micromonas Polaris
Maat5A2,H,TRUE,99.015,1346300,FALSE,2.5C,Micromonas Polaris
Maat5A2,H,FALSE,-0.0125,198110,FALSE,2.5C,Micromonas Polaris
Maat5A2,H,FALSE,24.0611,186710,FALSE,2.5C,Micromonas Polaris
Maat5A2,H,FALSE,51.0505,66191.838,FALSE,2.5C,Micromonas Polaris
Maat5A2,H,FALSE,75.0223,10735.7683,FALSE,2.5C,Micromonas Polaris
Maat5A2,H,FALSE,99.0465,374.2879,FALSE,2.5C,Micromonas Polaris
Maat5B2,V,FALSE,2.50E-03,5057500,FALSE,2.5C,Micromonas Polaris
Maat5B2,V,FALSE,8.0751,5057500,FALSE,2.5C,Micromonas Polaris
Maat5B2,V,FALSE,16.0481,3850600,FALSE,2.5C,Micromonas Polaris
Maat5B2,V,FALSE,24.0724,6149400,FALSE,2.5C,Micromonas Polaris
Maat5B2,V,FALSE,30.0673,10862000,FALSE,2.5C,Micromonas Polaris
Maat5B2,V,FALSE,51.0827,44425000,FALSE,2.5C,Micromonas Polaris
Maat5B2,V,FALSE,75.0588,56322000,FALSE,2.5C,Micromonas Polaris
Maat5B2,V,FALSE,99.0279,53736000,FALSE,2.5C,Micromonas Polaris
Maat5A3,H,TRUE,4.12E-03,287430,FALSE,3.5C,Micromonas Polaris
Maat5A3,H,TRUE,24.0242,486230,FALSE,3.5C,Micromonas Polaris
Maat5A3,H,TRUE,50.9733,840870,FALSE,3.5C,Micromonas Polaris
Maat5A3,H,TRUE,75.0108,2255200,FALSE,3.5C,Micromonas Polaris
Maat5A3,H,TRUE,98.9678,4052800,FALSE,3.5C,Micromonas Polaris
Maat5A3,H,FALSE,0.0421,279690,FALSE,3.5C,Micromonas Polaris
Maat5A3,H,FALSE,24.0147,237660,FALSE,3.5C,Micromonas Polaris
Maat5A3,H,FALSE,51.0032,101650,FALSE,3.5C,Micromonas Polaris
Maat5A3,H,FALSE,74.9736,24160.9673,FALSE,3.5C,Micromonas Polaris
Maat5A3,H,FALSE,99.0465,374.2879,FALSE,3.5C,Micromonas Polaris
Maat5B3,V,FALSE,0.0511,3218400,FALSE,3.5C,Micromonas Polaris
Maat5B3,V,FALSE,8.0254,4712600,FALSE,3.5C,Micromonas Polaris
