id,organism,control,time,abundance,logscale,treatment,algalHost
Maat3BHL,H,FALSE,0.077,971290,FALSE,P-Limited,Micromonas Pusilla
Maat3BHL,H,FALSE,6.0584,898400,FALSE,P-Limited,Micromonas Pusilla
Maat3BHL,H,FALSE,12.0369,902750,FALSE,P-Limited,Micromonas Pusilla
Maat3BHL,H,FALSE,18.0228,712540,FALSE,P-Limited,Micromonas Pusilla
Maat3BHL,H,FALSE,24.0161,324800,FALSE,P-Limited,Micromonas Pusilla
Maat3BHL,H,FALSE,30,188060,FALSE,P-Limited,Micromonas Pusilla
Maat3BHL,H,FALSE,36.0393,89925.0132,FALSE,P-Limited,Micromonas Pusilla
Maat3BHL,H,FALSE,47.9426,9506.0142,FALSE,P-Limited,Micromonas Pusilla
Maat3AHL,H,TRUE,0,1039600,FALSE,P-Limited,Micromonas Pusilla
Maat3AHL,H,TRUE,6.0356,960400,FALSE,P-Limited,Micromonas Pusilla
Maat3AHL,H,TRUE,12.0142,1113900,FALSE,P-Limited,Micromonas Pusilla
Maat3AHL,H,TRUE,18.0498,925740,FALSE,P-Limited,Micromonas Pusilla
Maat3AHL,H,TRUE,24.0285,1198000,FALSE,P-Limited,Micromonas Pusilla
Maat3AHL,H,TRUE,29.9502,1326700,FALSE,P-Limited,Micromonas Pusilla
Maat3AHL,H,TRUE,35.9858,1158400,FALSE,P-Limited,Micromonas Pusilla
Maat3AHL,H,TRUE,48,955450,FALSE,P-Limited,Micromonas Pusilla
Maat3AHL,H,TRUE,71.9715,930690,FALSE,P-Limited,Micromonas Pusilla
Maat3CHL,V,TRUE,0.0128,8613900,FALSE,P-Limited,Micromonas Pusilla
Maat3CHL,V,TRUE,3.0128,7524800,FALSE,P-Limited,Micromonas Pusilla
Maat3CHL,V,TRUE,6.0128,7722800,FALSE,P-Limited,Micromonas Pusilla
Maat3CHL,V,TRUE,9.0128,8316800,FALSE,P-Limited,Micromonas Pusilla
Maat3CHL,V,TRUE,12.0128,10495000,FALSE,P-Limited,Micromonas Pusilla
Maat3CHL,V,TRUE,15.0128,23861000,FALSE,P-Limited,Micromonas Pusilla
Maat3CHL,V,TRUE,17.9872,39693000,FALSE,P-Limited,Micromonas Pusilla
Maat3CHL,V,TRUE,20.9565,48315000,FALSE,P-Limited,Micromonas Pusilla
Maat3CHL,V,TRUE,24.04,66006000,FALSE,P-Limited,Micromonas Pusilla
Maat3CHL,V,TRUE,36.0314,90238000,FALSE,P-Limited,Micromonas Pusilla
Maat3CHL,V,TRUE,48.0228,86075000,FALSE,P-Limited,Micromonas Pusilla
Maat3BML,H,FALSE,0.0163,1069300,FALSE,P-Limited,Micromonas Pusilla
Maat3BML,H,FALSE,6.0532,1035000,FALSE,P-Limited,Micromonas Pusilla
Maat3BML,H,FALSE,11.9781,953240,FALSE,P-Limited,Micromonas Pusilla
Maat3BML,H,FALSE,18.0215,746700,FALSE,P-Limited,Micromonas Pusilla
Maat3BML,H,FALSE,24.0187,256480,FALSE,P-Limited,Micromonas Pusilla
Maat3BML,H,FALSE,30.0025,122710,FALSE,P-Limited,Micromonas Pusilla
Maat3BML,H,FALSE,35.9834,61708.2285,FALSE,P-Limited,Micromonas Pusilla
