id,organism,control,time,abundance,logscale,treatment,algalHost
Maat4CHL,V,FALSE,2.01E-05,3772900,FALSE,P-Replete,Phaeocystis globosa
Maat4CHL,V,FALSE,2.983,3617300,FALSE,P-Replete,Phaeocystis globosa
Maat4CHL,V,FALSE,5.9855,5777600,FALSE,P-Replete,Phaeocystis globosa
Maat4CHL,V,FALSE,8.9976,5734000,FALSE,P-Replete,Phaeocystis globosa
Maat4CHL,V,FALSE,11.9952,11107000,FALSE,P-Replete,Phaeocystis globosa
Maat4CHL,V,FALSE,15.0024,25370000,FALSE,P-Replete,Phaeocystis globosa
Maat4CHL,V,FALSE,21.0213,95098000,FALSE,P-Replete,Phaeocystis globosa
Maat4CHL,V,FALSE,24.025,131140000,FALSE,P-Replete,Phaeocystis globosa
Maat4CHL,V,FALSE,30.0308,147830000,FALSE,P-Replete,Phaeocystis globosa
Maat4CHL,V,FALSE,35.9828,160780000,FALSE,P-Replete,Phaeocystis globosa
Maat4CHL,V,FALSE,48.9857,167630000,FALSE,P-Replete,Phaeocystis globosa
Maat4CHL,V,FALSE,71.9078,162120000,FALSE,P-Replete,Phaeocystis globosa
Maat4CLL,V,FALSE,-0.0242,5267100,FALSE,P-Replete,Phaeocystis globosa
Maat4CLL,V,FALSE,2.983,3617300,FALSE,P-Replete,Phaeocystis globosa
Maat4CLL,V,FALSE,5.9952,5292000,FALSE,P-Replete,Phaeocystis globosa
Maat4CLL,V,FALSE,8.9879,6555900,FALSE,P-Replete,Phaeocystis globosa
Maat4CLL,V,FALSE,11.9952,6624300,FALSE,P-Replete,Phaeocystis globosa
Maat4CLL,V,FALSE,15.0024,12968000,FALSE,P-Replete,Phaeocystis globosa
Maat4CLL,V,FALSE,20.9938,70396000,FALSE,P-Replete,Phaeocystis globosa
Maat4CLL,V,FALSE,24.0541,216470000,FALSE,P-Replete,Phaeocystis globosa
Maat4CLL,V,FALSE,29.9824,342070000,FALSE,P-Replete,Phaeocystis globosa
Maat4CLL,V,FALSE,35.9865,298130000,FALSE,P-Replete,Phaeocystis globosa
Maat4CLL,V,FALSE,48.9628,311710000,FALSE,P-Replete,Phaeocystis globosa
Maat4CLL,V,FALSE,71.912,317060000,FALSE,P-Replete,Phaeocystis globosa
Maat4CML,V,FALSE,-0.0145,3287300,FALSE,P-Replete,Phaeocystis globosa
Maat4CML,V,FALSE,2.983,3617300,FALSE,P-Replete,Phaeocystis globosa
Maat4CML,V,FALSE,5.9758,4582300,FALSE,P-Replete,Phaeocystis globosa
Maat4CML,V,FALSE,8.9927,5248400,FALSE,P-Replete,Phaeocystis globosa
Maat4CML,V,FALSE,11.9952,27954000,FALSE,P-Replete,Phaeocystis globosa
Maat4CML,V,FALSE,14.9927,69300000,FALSE,P-Replete,Phaeocystis globosa
Maat4CML,V,FALSE,21,301680000,FALSE,P-Replete,Phaeocystis globosa
Maat4CML,V,FALSE,24.0095,554790000,FALSE,P-Replete,Phaeocystis globosa
Maat4CML,V,FALSE,29.9901,631360000,FALSE,P-Replete,Phaeocystis globosa
Maat4CML,V,FALSE,35.9978,719160000,FALSE,P-Replete,Phaeocystis globosa
Maat4CML,V,FALSE,48.9986,647040000,FALSE,P-Replete,Phaeocystis globosa
Maat4CML,V,FALSE,71.9485,679710000,FALSE,P-Replete,Phaeocystis globosa
Maat4BHL,H,FALSE,0.0804,587100,FALSE,P-Replete,Phaeocystis globosa
Maat4BHL,H,FALSE,6.0557,534950,FALSE,P-Replete,Phaeocystis globosa
Maat4BHL,H,FALSE,12.0847,534950,FALSE,P-Replete,Phaeocystis globosa
Maat4BHL,H,FALSE,18.0332,516450,FALSE,P-Replete,Phaeocystis globosa
Maat4BHL,H,FALSE,24.089,229910,FALSE,P-Replete,Phaeocystis globosa
Maat4BHL,H,FALSE,30.0107,16822.4299,FALSE,P-Replete,Phaeocystis globosa
Maat4BLL,H,FALSE,0.134,491780,FALSE,P-Replete,Phaeocystis globosa
Maat4BLL,H,FALSE,6.0557,559630,FALSE,P-Replete,Phaeocystis globosa
Maat4BLL,H,FALSE,12.0579,559630,FALSE,P-Replete,Phaeocystis globosa
Maat4BLL,H,FALSE,17.9796,591590,FALSE,P-Replete,Phaeocystis globosa
Maat4BLL,H,FALSE,24.0622,510840,FALSE,P-Replete,Phaeocystis globosa
Maat4BLL,H,FALSE,29.9839,187850,FALSE,P-Replete,Phaeocystis globosa
Maat4BLL,H,FALSE,35.9593,81308.4112,FALSE,P-Replete,Phaeocystis globosa
Maat4BLL,H,FALSE,48.0439,18504.6729,FALSE,P-Replete,Phaeocystis globosa
Maat4BLL,H,FALSE,71.9184,-2803.7383,FALSE,P-Replete,Phaeocystis globosa
Maat4BLL,H,FALSE,95.8735,-2242.9907,FALSE,P-Replete,Phaeocystis globosa
Maat4BML,H,FALSE,0.0268,1073300,FALSE,P-Replete,Phaeocystis globosa
Maat4BML,H,FALSE,6.0557,1023900,FALSE,P-Replete,Phaeocystis globosa
Maat4BML,H,FALSE,12.0847,1024500,FALSE,P-Replete,Phaeocystis globosa
Maat4BML,H,FALSE,18.06,855140,FALSE,P-Replete,Phaeocystis globosa
Maat4BML,H,FALSE,24.0354,476070,FALSE,P-Replete,Phaeocystis globosa
Maat4BML,H,FALSE,30.0375,97009.3458,FALSE,P-Replete,Phaeocystis globosa
Maat4BML,H,FALSE,36.0129,1121.4953,FALSE,P-Replete,Phaeocystis globosa
Maat4BML,H,FALSE,47.9367,-3925.2336,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,0.0644,571430,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,6.083,705090,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,12.0695,856600,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,18.0238,1490300,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,24.0747,2266800,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,30.029,2230800,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,36.0798,3083200,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,48.0206,6640700,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,0.0644,535710,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,6.0509,584550,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,12.0051,624460,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,17.9594,927770,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,24.0425,1074800,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,29.9646,1079000,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,35.951,1364500,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,48.0528,2337100,FALSE,P-Replete,Phaeocystis globosa
Maat4AML,H,TRUE,0,1071400,FALSE,P-Replete,Phaeocystis globosa
Maat4AML,H,TRUE,6.0187,1423800,FALSE,P-Replete,Phaeocystis globosa
