id,organism,control,time,abundance,logscale,treatment,algalHost,Column1
Maat5A0,H,FALSE,0.0356,263810,FALSE,0.5C,Micromonas Polaris,
Maat5A0,H,FALSE,24.0493,238280,FALSE,0.5C,Micromonas Polaris,
Maat5A0,H,FALSE,51.0301,114520,FALSE,0.5C,Micromonas Polaris,
Maat5A0,H,FALSE,74.9928,50035.9093,FALSE,0.5C,Micromonas Polaris,
Maat5A0,H,FALSE,99.0553,4854.889,FALSE,0.5C,Micromonas Polaris,
Maat5B0,V,FALSE,0.0522,5344800,FALSE,0.5C,Micromonas Polaris,
Maat5B0,V,FALSE,8.0256,5114900,FALSE,0.5C,Micromonas Polaris,
Maat5B0,V,FALSE,16.0482,3908000,FALSE,0.5C,Micromonas Polaris,
Maat5B0,V,FALSE,24.0221,4597700,FALSE,0.5C,Micromonas Polaris,
Maat5B0,V,FALSE,30.0161,7471300,FALSE,0.5C,Micromonas Polaris,
Maat5B0,V,FALSE,51.0303,38621000,FALSE,0.5C,Micromonas Polaris,
Maat5B0,V,FALSE,75.0612,61092000,FALSE,0.5C,Micromonas Polaris,
Maat5B0,V,FALSE,99.0324,62931000,FALSE,0.5C,Micromonas Polaris,
